Year,Team,matches_total,wins_total,draws_total,losses_total,goals_for_total,goals_against_total,avg_attendance,away_matches,home_matches,away_wins,home_wins,away_avg_attendance,home_avg_attendance,win_attendance_avg,away_win_attendance_avg,home_win_attendance_avg,goal_balance_total,win_rate_total,home_win_rate,away_win_rate,home_away_win_rate_delta,attendance_win_minus_avg,home_away_win_attendance_delta,HostCountry,Winner,QualifiedTeams,tournament_matches_played,tournament_attendance,is_host_team,is_world_cup_winner
2002.0,Nigeria,3,0,1,2,1.0,3.0,38369.333333333336,2.0,1.0,0.0,0.0,35122.0,44864.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-38369.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Paraguay,4,1,1,2,6.0,7.0,26134.5,3.0,1.0,1.0,0.0,26450.666666666668,25186.0,30176.0,30176.0,0.0,-1.0,0.25,0.0,0.3333333333333333,-0.3333333333333333,4041.5,-30176.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Poland,3,1,0,2,3.0,7.0,35414.0,2.0,1.0,0.0,1.0,39880.0,26482.0,26482.0,0.0,26482.0,-4.0,0.3333333333333333,1.0,0.0,1.0,-8932.0,26482.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Portugal,3,1,0,2,6.0,4.0,39515.0,1.0,2.0,0.0,1.0,37306.0,40619.5,31000.0,0.0,31000.0,2.0,0.3333333333333333,0.5,0.0,0.5,-8515.0,31000.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Russia,3,1,0,2,4.0,4.0,47901.666666666664,2.0,1.0,0.0,1.0,56374.0,30957.0,30957.0,0.0,30957.0,0.0,0.3333333333333333,1.0,0.0,1.0,-16944.666666666664,30957.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Saudi Arabia,3,0,0,3,0.0,12.0,49955.333333333336,2.0,1.0,0.0,0.0,42273.0,65320.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,-49955.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Senegal,5,2,2,1,7.0,6.0,44744.4,3.0,2.0,2.0,0.0,48602.666666666664,38957.0,51154.0,51154.0,0.0,1.0,0.4,0.0,0.6666666666666666,-0.6666666666666666,6409.5999999999985,-51154.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Slovenia,3,0,0,3,2.0,7.0,35333.333333333336,2.0,1.0,0.0,0.0,37912.0,30176.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-35333.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,South Africa,3,1,1,1,5.0,5.0,34478.666666666664,1.0,2.0,0.0,1.0,25186.0,39125.0,47226.0,0.0,47226.0,0.0,0.3333333333333333,0.5,0.0,0.5,12747.333333333336,47226.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Spain,5,3,2,0,10.0,5.0,32932.4,1.0,4.0,1.0,2.0,31024.0,33409.5,27874.0,31024.0,26299.0,5.0,0.6,0.5,1.0,-0.5,-5058.4000000000015,-4725.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Sweden,4,1,2,1,5.0,5.0,43609.75,1.0,3.0,0.0,1.0,52721.0,40572.666666666664,36194.0,0.0,36194.0,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333,-7415.75,36194.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Tunisia,3,0,1,2,1.0,5.0,38623.333333333336,1.0,2.0,0.0,0.0,30957.0,42456.5,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,-38623.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Turkey,7,4,1,2,10.0,6.0,47740.857142857145,6.0,1.0,3.0,1.0,48430.166666666664,43605.0,49246.75,51127.333333333336,43605.0,4.0,0.5714285714285714,1.0,0.5,0.5,1505.892857142855,-7522.333333333336,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,USA,5,2,1,2,7.0,7.0,39656.6,4.0,1.0,1.0,1.0,40244.25,37306.0,36843.0,36380.0,37306.0,0.0,0.4,1.0,0.25,0.75,-2813.5999999999985,926.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,Uruguay,3,0,2,1,4.0,5.0,34042.333333333336,2.0,1.0,0.0,0.0,35985.0,30157.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-34042.333333333336,0.0,Korea/Japan,Brazil,32,64,2705197,0,0
2002.0,"rn"">Republic of Ireland",4,1,3,0,6.0,3.0,43444.75,3.0,1.0,1.0,0.0,46700.0,33679.0,65320.0,65320.0,0.0,3.0,0.25,0.0,0.3333333333333333,-0.3333333333333333,21875.25,-65320.0,Korea/Japan,Brazil,32,64,2705197,0,0
2006.0,Angola,3,0,2,1,1.0,2.0,42000.0,2.0,1.0,0.0,0.0,40500.0,45000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-42000.0,0.0,Germany,Italy,32,64,3359439,0,0
