Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1954,1954-06-17 18:10,Group 4,St. Jakob,Basel,England,4,4,Belgium,,14000,0,0,SCHMETZER EMIL (FRG),BUCHMUELLER FRITZ (SUI),RUFFLI WILLY (SUI),211,1240,ENG,BEL
1954,1954-06-17 17:50,Group 4,La Pontaise,Lausanne,Switzerland,2,1,Italy,,43000,1,1,VIANA MARIO (BRA),ASENSI MANUEL (ESP),MARINO ESTEBAN (URU),211,1300,SUI,ITA
1954,1954-06-19 16:50,Group 3,St. Jakob,Basel,Uruguay,7,0,Scotland,,34000,2,0,ORLANDINI VINCENZO (ITA),WYSSLING PAUL (SUI),GUIDI DENILO (SUI),211,1313,URU,SCO
1954,1954-06-19 17:00,Group 3,Hardturm,Zurich,Austria,5,0,Czechoslovakia,,26000,4,0,STEFANOVIC VASA (YUG),DOERFLINGER ERNST (SUI),GULDE JOSEF (SUI),211,1238,AUT,TCH
1954,1954-06-19 17:10,Group 1,Charmilles,Geneva,France,3,2,Mexico,,19000,1,0,ASENSI MANUEL (ESP),FRANKEN LAURENT (BEL),BAUMBERGER RENE (SUI),211,1275,FRA,MEX
1954,1954-06-19 17:00,Group 1,La Pontaise,Lausanne,Brazil,1,1,Yugoslavia,,24637,0,0,FAULTLESS CHARLIE (SCO),ELLIS ARTHUR (ENG),VON GUNTER ALBERT (SUI),211,1252,BRA,YUG
1954,1954-06-20 16:50,Group 2,St. Jakob,Basel,Hungary,8,3,Germany FR,,56000,3,1,LING WILLIAM (ENG),SCHICKER WERNER (SUI),GRIFFITHS BENJAMIN (WAL),211,1277,HUN,FRG
1954,1954-06-20 17:00,Group 2,Charmilles,Geneva,Turkey,7,0,Korea Republic,,4000,4,0,MARINO ESTEBAN (URU),ORLANDINI VINCENZO (ITA),SCHONHOLZER ERNEST (SUI),211,1304,TUR,KOR
1954,1954-06-20 17:10,Group 4,Wankdorf Stadium,Berne,England,2,0,Switzerland,,43500,1,0,ZSOLT ISTVAN (HUN),DA COSTA VIEIRA JOSE (POR),STEFANOVIC VASA (YUG),211,1263,ENG,SUI
1954,1954-06-20 17:00,Group 4,Comunale di Cornaredo,Lugano,Italy,4,1,Belgium,,24000,1,0,STEINER CARL (AUT),VINCENTI RAYMOND (FRA),SCHMETZER EMIL (FRG),211,1243,ITA,BEL
